,actual,forecast
2018-06-16,44.61954498291016,
2018-06-17,44.61954498291016,
2018-06-18,44.59592056274414,
2018-06-19,43.87525177001953,
2018-06-20,44.06664276123047,
2018-06-21,43.82090377807617,
2018-06-22,43.69330596923828,
2018-06-23,43.69330596923828,
2018-06-24,43.69330596923828,
2018-06-25,43.04354095458984,
2018-06-26,43.57753372192383,
2018-06-27,43.51374435424805,
2018-06-28,43.830360412597656,
2018-06-29,43.73820877075195,
2018-06-30,43.73820877075195,
2018-07-01,43.73820877075195,
2018-07-02,44.227317810058594,
2018-07-03,43.45703125,
2018-07-04,43.45703125,
2018-07-05,43.806732177734375,
2018-07-06,44.413970947265625,
2018-07-07,44.413970947265625,
2018-07-08,44.413970947265625,
2018-07-09,45.030670166015625,
2018-07-10,44.976341247558594,
2018-07-11,44.392704010009766,
2018-07-12,45.137001037597656,
2018-07-13,45.2078742980957,
2018-07-14,45.2078742980957,
2018-07-15,45.2078742980957,
2018-07-16,45.1086540222168,
2018-07-17,45.23622894287109,
2018-07-18,44.98814010620117,
2018-07-19,45.33784103393555,
2018-07-20,45.2338752746582,
2018-07-21,45.2338752746582,
2018-07-22,45.2338752746582,
2018-07-23,45.27404022216797,
2018-07-24,45.602481842041016,
2018-07-25,46.03252410888672,
2018-07-26,45.88837814331055,
2018-07-27,45.125186920166016,
2018-07-28,45.125186920166016,
2018-07-29,45.125186920166016,
2018-07-30,44.87236404418945,
2018-07-31,44.96214294433594,
2018-08-01,47.610877990722656,
2018-08-02,49.0025749206543,
2018-08-03,49.14435195922852,
2018-08-04,49.14435195922852,
2018-08-05,49.14435195922852,
2018-08-06,49.39952850341797,
2018-08-07,48.93641662597656,
2018-08-08,48.96950149536133,
2018-08-09,49.35464477539063,
2018-08-10,49.20762252807617,
2018-08-11,49.20762252807617,
2018-08-12,49.20762252807617,
2018-08-13,49.52536392211914,
2018-08-14,49.734012603759766,
2018-08-15,49.85020446777344,
2018-08-16,50.58051681518555,
2018-08-17,51.59059143066406,
2018-08-18,51.59059143066406,
2018-08-19,51.59059143066406,
2018-08-20,51.08791732788086,
2018-08-21,50.98832321166992,
2018-08-22,50.990699768066406,
2018-08-23,51.09504318237305,
2018-08-24,51.25390625,
2018-08-25,51.25390625,
2018-08-26,51.25390625,
2018-08-27,51.67595291137695,
2018-08-28,52.09327697753906,
2018-08-29,52.87099456787109,
2018-08-30,53.3570671081543,
2018-08-31,53.97357177734375,
2018-09-01,53.97357177734375,
2018-09-02,53.97357177734375,
2018-09-03,53.97357177734375,
2018-09-04,54.14664840698242,
2018-09-05,53.79336166381836,
2018-09-06,52.899444580078125,
2018-09-07,52.47266387939453,
2018-09-08,52.47266387939453,
2018-09-09,52.47266387939453,
2018-09-10,51.76842498779297,
2018-09-11,53.07728576660156,
2018-09-12,52.41810989379883,
2018-09-13,53.68428802490234,
2018-09-14,53.07490539550781,
2018-09-15,53.07490539550781,
2018-09-16,53.07490539550781,
2018-09-17,51.66173553466797,
2018-09-18,51.74708938598633,
2018-09-19,51.77791595458984,
2018-09-20,52.17151641845703,
2018-09-21,51.60956573486328,
2018-09-22,51.60956573486328,
2018-09-23,51.60956573486328,
2018-09-24,52.35171890258789,
2018-09-25,52.68366622924805,
2018-09-26,52.26399612426758,
2018-09-27,53.33810806274414,
2018-09-28,53.52541732788086,
2018-09-29,53.52541732788086,
2018-09-30,53.52541732788086,
2018-10-01,53.88582992553711,
2018-10-02,54.36479568481445,
2018-10-03,55.02633285522461,
2018-10-04,54.05892181396485,
2018-10-05,53.18161392211914,
2018-10-06,53.18161392211914,
2018-10-07,53.18161392211914,
2018-10-08,53.05831527709961,
2018-10-09,53.79336166381836,
2018-10-10,51.30132675170898,
2018-10-11,50.84844207763672,
2018-10-12,52.66470718383789,
2018-10-13,52.66470718383789,
2018-10-14,52.66470718383789,
2018-10-15,51.53842926025391,
2018-10-16,52.67419052124024,
2018-10-17,52.44656753540039,
2018-10-18,51.22071075439453,
2018-10-19,52.00079345703125,
2018-10-20,52.00079345703125,
2018-10-21,52.00079345703125,
2018-10-22,52.31852722167969,
2018-10-23,52.81171417236328,
2018-10-24,51.00019454956055,
2018-10-25,52.11697769165039,
2018-10-26,51.28710174560547,
2018-10-27,51.28710174560547,
2018-10-28,51.28710174560547,
2018-10-29,50.32441329956055,
2018-10-30,50.57576751708984,
2018-10-31,51.89410400390625,
2018-11-01,52.69078826904297,
2018-11-02,49.19576644897461,
2018-11-03,49.19576644897461,
2018-11-04,49.19576644897461,
2018-11-05,47.799198150634766,
2018-11-06,48.31610870361328,
2018-11-07,49.781436920166016,
2018-11-08,49.60774612426758,
2018-11-09,48.65122985839844,
2018-11-10,48.65122985839844,
2018-11-11,48.65122985839844,
2018-11-12,46.200462341308594,
2018-11-13,45.7388801574707,
2018-11-14,44.44687271118164,
2018-11-15,45.54376983642578,
2018-11-16,46.048187255859375,
2018-11-17,46.048187255859375,
2018-11-18,46.048187255859375,
2018-11-19,44.22320938110352,
2018-11-20,42.110313415527344,
2018-11-21,42.06272506713867,
2018-11-22,42.06272506713867,
2018-11-23,40.994384765625,
2018-11-24,40.994384765625,
2018-11-25,40.994384765625,
2018-11-26,41.548770904541016,
2018-11-27,41.4583625793457,
2018-11-28,43.05254364013672,
2018-11-29,42.72181701660156,
2018-11-30,42.49101257324219,
2018-12-01,42.49101257324219,
2018-12-02,42.49101257324219,
2018-12-03,43.97575378417969,
2018-12-04,42.04131317138672,
2018-12-05,42.04131317138672,
2018-12-06,41.57257080078125,
2018-12-07,40.090213775634766,
2018-12-08,40.090213775634766,
2018-12-09,40.090213775634766,
2018-12-10,40.35432052612305,
2018-12-11,40.12352752685547,
2018-12-12,40.23536682128906,
2018-12-13,40.6755485534668,
2018-12-14,39.3740234375,
2018-12-15,39.3740234375,
2018-12-16,39.3740234375,
2018-12-17,39.007598876953125,
2018-12-18,39.51441192626953,
2018-12-19,38.28187942504883,
2018-12-20,37.31585311889648,
2018-12-21,35.864437103271484,
2018-12-22,35.864437103271484,
2018-12-23,35.864437103271484,
2018-12-24,34.93647003173828,
2018-12-25,34.93647003173828,
2018-12-26,37.396751403808594,
2018-12-27,37.154052734375,
2018-12-28,37.17309188842773,
2018-12-29,37.17309188842773,
2018-12-30,37.17309188842773,
2018-12-31,37.532371520996094,
2019-01-01,37.532371520996094,
2019-01-02,37.57521057128906,
2019-01-03,33.83244705200195,
2019-01-04,35.27671432495117,
